"e","a","i","om","w","ma","epoch","H","albedo","diameter","class","name"
.1715288794725286,2.34787946360253,1.583285728320563,94.77058966719741,356.2813604851887,304.4081702468011,2459800.5,7.07,0.215,96,MBA,Euterpe
.1513647325858207,2.775017553918612,9.430449432031033,144.2889704325833,343.7978618747375,169.5452345285185,2459800.5,7.34,0.1763,120.90,MBA,Bellona
.07358342931625979,2.553745382753474,6.08276838974782,356.329271395391,63.06316305145425,214.212682164497,2459800.5,5.97,0.216,189.559,MBA,Amphitrite
.1274306533058817,2.36579053536079,2.093881674293368,307.4378427424797,86.90286519917835,354.7342373867717,2459800.5,7.59,0.192,92.787,MBA,Urania
.2171125802660432,3.16426791476581,26.30672416054471,30.80401276077362,61.56591586708939,297.843006610035,2459800.5,6.87,0.053,267.080,MBA,Euphrosyne
.08168383616931191,2.587765687975589,5.521330821490277,220.3676461851183,338.5662008806806,317.0921009181502,2459800.5,7.73,0.2564,80.76,MBA,Pomona
.3317499323188727,2.874333043144819,1.852708145005807,8.446738155530792,338.5211613924363,224.5325983976995,2459800.5,8.59,0.240,52.929,MBA,Polyhymnia
.1065742659664292,2.687332447913358,5.49731635796248,184.3313714403374,330.1521411049426,35.82204026673121,2459800.5,8.69,0.023,132.992,MBA,Circe
.2247511511701082,2.993771354058637,7.933399598782326,353.7160076380732,213.559836391793,83.43418897879096,2459800.5,8.75,0.066,103.055,MBA,Leukothea
.3058278084564345,2.746115016514587,18.37404895891074,358.2018237659998,47.78194505266929,199.5006771367939,2459800.5,8.66,0.029,132.842,MBA,Atalante
.175788226738438,2.641690836876335,3.071344382663768,7.25978916597811,62.52669303741158,257.3590749354051,2459800.5,7.46,0.1826,108.35,MBA,Fides
.152011214302941,2.744383196622854,6.952833514409185,295.6390191409656,169.1355155263457,265.8840395943704,2459800.5,8.57,0.055,92.255,MBA,Leda
.1118651667692028,2.76980598697276,10.37074951503091,156.9393271367745,209.6024978278694,197.688516202683,2459800.5,6.26,0.269,179.484,MBA,Laetitia
.04638611833277719,2.266976536707598,4.25580761839752,94.16645994324432,268.744709863232,94.97179077644245,2459800.5,7.27,0.220,111.251,MBA,Harmonia
.2744324442375038,2.760767455298856,15.789830377887,178.05585207,45.92300869982157,32.07410060360175,2459800.5,7.52,0.059,205.495,MBA,Daphne
.2225741103487787,2.442329708448976,8.511316787700148,84.18402355495036,237.2139853339492,153.4705150917014,2459800.5,7.63,0.139,110.997,MBA,Isis
.1688466960988097,2.202599673284201,3.470939679672268,264.7620542333798,16.23809838206133,139.6657091316047,2459800.5,8.06,0.234,71.340,MBA,Ariadne
