"name","H","epoch","e","a","i","om","w","class","albedo","diameter","ma"
,15.68,2460600.5,0.1395,2.71,5.46,155.99,132.18,MBA,,,282.10
,16.55,2460600.5,0.2000,2.574,4.52,82.69,173.32,MBA,,,124.43
,15.18,2460600.5,0.0888,2.761,10.31,102.65,130.82,MBA,,,266.26
,15.75,2460600.5,0.1749,2.54,4.35,197.60,19.65,MBA,0.263,1.824,206.57
,15.62,2460600.5,0.1783,2.581,13.04,169.37,99.25,MBA,,,107.35
,16.40,2460600.5,0.1856,2.638,7.37,97.97,119.61,MBA,0.082,2.675,73.53
,15.18,2460600.5,0.1918,2.664,14.04,50.87,130.35,MBA,0.300,2.662,69.00
,16.47,2460600.5,0.2478,2.741,14.65,191.27,289.99,MBA,,,22.52
,15.14,2460600.5,0.1932,2.672,14.42,140.32,38.58,MBA,0.249,2.922,58.20
,15.87,2460600.5,0.2303,2.559,5.59,140.71,97.32,MBA,0.362,1.677,171.85
,15.26,2460600.5,0.1912,2.609,4.60,94.84,91.25,MBA,0.379,2.160,124.88
,15.65,2460600.5,0.1719,2.687,13.33,139.26,99.39,MBA,,,357.90
,15.65,2460600.5,0.1819,2.604,5.67,133.32,40.38,MBA,,,148.64
,16.04,2460600.5,0.1840,2.699,8.12,104.28,150.63,MBA,,,332.09
,14.87,2460600.5,0.1663,3.056,9.92,293.68,45.66,MBA,,,306.89
,16.78,2460600.5,0.1987,2.163,6.51,102.41,188.71,MBA,,,94.04
,16.09,2460600.5,0.0389,2.771,3.87,226.06,210.30,MBA,0.048,4.194,115.06
,15.03,2460600.5,0.1018,3.011,7.84,303.76,39.62,MBA,0.065,6.268,348.68
,15.53,2460600.5,0.2151,2.726,8.21,326.86,293.21,MBA,,,324.17
,15.31,2460600.5,0.2744,2.69,10.57,298.41,302.04,MBA,,,21.50
,16.89,2460600.5,0.1916,2.251,8.84,75.41,287.84,MBA,,,235.90
,16.17,2460600.5,0.2101,2.185,6.83,170.92,125.07,MBA,,,53.77
,15.17,2460600.5,0.2586,3.173,19.80,143.30,232.87,MBA,,,207.37
,14.98,2460600.5,0.0724,2.935,11.48,341.14,34.09,MBA,0.064,6.026,34.91
,15.50,2460600.5,0.2517,2.987,2.80,91.11,258.64,MBA,0.071,4.162,19.76
,17.09,2460600.5,0.1900,2.125,1.46,247.96,82.38,MBA,,,163.66
,15.18,2460600.5,0.2397,3.01,11.23,139.19,223.64,MBA,0.175,3.324,350.58
,16.17,2460600.5,0.1651,3.025,4.33,166.09,152.34,MBA,,,13.84
,14.90,2460600.5,0.1724,3.117,9.86,279.51,91.51,MBA,,,257.48
,14.72,2460600.5,0.1228,2.985,8.89,274.23,80.50,MBA,0.237,3.596,18.76
,14.36,2460600.5,0.2231,3.176,27.62,153.14,236.06,MBA,0.046,8.984,193.76
,16.33,2460600.5,0.1362,2.598,3.35,29.36,355.93,MBA,,,57.69
,16.07,2460600.5,0.1970,2.217,5.58,24.30,279.79,MBA,,,356.56
,16.08,2460600.5,0.1214,2.184,5.56,125.30,146.66,MBA,0.327,1.683,104.90
,16.54,2460600.5,0.1796,2.171,4.20,61.68,317.44,MBA,0.060,3.126,41.67
,17.33,2460600.5,0.2332,2.27,1.31,6.44,347.92,MBA,,,230.89
,16.42,2460600.5,0.1922,2.173,3.40,74.14,247.92,MBA,,,82.61
,17.03,2460600.5,0.1630,2.171,2.13,283.45,39.93,MBA,,,68.45
,16.88,2460600.5,0.1500,2.155,2.36,243.85,81.11,MBA,,,105.44
,16.87,2460600.5,0.2014,2.199,3.88,85.39,221.87,MBA,,,24.86
,16.48,2460600.5,0.1612,2.209,3.96,55.91,285.68,MBA,,,343.18
,15.01,2460600.5,0.0937,3.072,8.54,317.55,79.51,MBA,,,263.07
,16.79,2460600.5,0.1155,2.198,2.13,234.46,165.79,MBA,,,319.21
,14.76,2460600.5,0.0534,3.172,9.51,202.74,230.73,MBA,0.043,8.070,146.55
,16.56,2460600.5,0.1619,2.199,5.56,218.02,186.69,MBA,,,322.69
,15.06,2460600.5,0.1874,3.19,4.28,218.78,118.82,MBA,,,222.07
,15.32,2460600.5,0.1292,2.831,14.48,345.26,290.94,MBA,,,232.09
,16.52,2460600.5,0.1745,2.278,4.35,230.87,97.51,MBA,,,228.77
,15.04,2460600.5,0.1296,2.779,9.15,179.15,95.88,MBA,,,292.46
,15.14,2460600.5,0.0852,3.013,2.56,277.76,131.20,MBA,,,307.96
,16.14,2460600.5,0.1405,2.9,1.14,326.86,335.09,MBA,,,144.24
,14.78,2460600.5,0.0819,3.084,9.67,341.67,80.69,MBA,,,237.78
,14.85,2460600.5,0.1916,3.168,7.82,317.88,66.09,MBA,,,217.15
,16.66,2460600.5,0.2155,2.226,3.55,212.83,198.91,MBA,,,274.38
,16.60,2460600.5,0.1672,2.241,4.67,33.51,291.25,MBA,,,302.95
,16.13,2460600.5,0.0897,2.263,7.08,134.01,267.15,MBA,,,202.72
,16.55,2460600.5,0.1720,2.237,6.62,163.52,166.64,MBA,,,309.85
,15.40,2460600.5,0.0625,2.912,2.29,38.22,276.70,MBA,,,148.21
,17.03,2460600.5,0.1483,2.286,5.81,188.21,216.47,MBA,,,175.68
,15.26,2460600.5,0.1347,3.138,6.69,80.78,28.56,MBA,,,154.65
,16.92,2460600.5,0.1084,2.203,4.39,189.01,64.27,MBA,,,92.39
,16.79,2460600.5,0.1348,2.212,4.29,90.31,316.62,MBA,,,297.92
,16.53,2460600.5,0.2357,2.223,2.98,113.93,229.43,MBA,,,329.80
,15.38,2460600.5,0.0121,3.002,0.79,183.58,125.88,MBA,,,37.41
,15.29,2460600.5,0.1622,3.125,3.27,12.34,71.77,MBA,,,197.40
,15.24,2460600.5,0.0654,3.2,2.25,272.56,103.73,MBA,,,207.27
,17.06,2460600.5,0.1244,2.192,2.76,346.06,312.90,MBA,,,78.33
,16.74,2460600.5,0.2380,2.179,4.56,56.70,279.30,MCA,,,60.76
,16.46,2460600.5,0.1660,2.233,4.92,106.82,248.21,MBA,,,304.63
,16.80,2460600.5,0.2271,2.371,5.77,31.58,266.26,MBA,,,100.74
,15.62,2460600.5,0.1830,2.967,1.87,158.74,199.69,MBA,0.066,4.110,29.45
,15.76,2460600.5,0.0273,3.025,0.90,207.21,331.20,MBA,,,156.94
,16.18,2460600.5,0.0376,3.095,1.02,41.53,356.91,MBA,,,245.95
,15.77,2460600.5,0.1088,3.057,1.39,168.59,339.19,MBA,,,167.71
,15.06,2460600.5,0.2434,3.263,0.97,298.78,352.52,OMB,0.055,6.191,185.76
,15.58,2460600.5,0.1796,3.204,0.40,209.53,153.77,OMB,,,200.59
,15.59,2460600.5,0.2666,2.756,13.29,176.95,142.78,MBA,,,276.58
,16.56,2460600.5,0.1084,2.168,4.80,141.48,220.38,MBA,,,64.85
,16.46,2460600.5,0.2058,2.262,4.53,88.63,236.55,MBA,,,272.29
,15.19,2460600.5,0.1939,2.798,12.50,182.01,124.57,MBA,0.077,5.009,257.21
,16.70,2460600.5,0.1092,2.202,2.87,248.19,183.67,MBA,,,290.48
,15.40,2460600.5,0.0917,2.954,1.12,222.60,170.78,MBA,,,18.18
,17.12,2460600.5,0.1081,2.159,1.70,213.51,204.38,MBA,,,32.49
,16.16,2460600.5,0.1522,2.247,4.52,340.96,310.00,MBA,0.030,5.081,322.19
,15.71,2460600.5,0.1571,3.048,2.31,3.13,32.97,MBA,,,296.44
,17.03,2460600.5,0.2345,2.285,4.49,167.66,275.03,MBA,,,141.61
,16.62,2460600.5,0.0955,2.198,5.37,10.08,308.02,MBA,,,37.10
,17.28,2460600.5,0.2118,2.163,2.07,22.78,355.97,MBA,,,59.49
,16.84,2460600.5,0.1074,2.326,2.56,189.79,167.01,MBA,,,130.62
,17.19,2460600.5,0.1912,2.185,2.71,14.07,338.73,MBA,,,32.06
,15.15,2460600.5,0.0864,3.06,9.94,358.64,31.74,MBA,0.216,2.993,295.21
,16.25,2460600.5,0.0944,2.229,6.52,53.08,191.23,MBA,0.284,1.725,49.48
,14.84,2460600.5,0.1816,3.186,3.51,349.63,334.19,MBA,,,246.65
,16.68,2460600.5,0.2127,2.259,2.44,208.06,124.70,MBA,,,266.84
,14.79,2460600.5,0.1507,3.179,6.59,352.53,9.86,MBA,,,228.89
,16.10,2460600.5,0.1039,2.261,6.23,236.58,154.10,MBA,,,224.40
,16.65,2460600.5,0.1573,2.194,5.51,154.43,261.64,MBA,,,331.44
,16.47,2460600.5,0.2172,2.235,5.35,217.51,98.68,MBA,,,326.57
,16.95,2460600.5,0.1724,2.167,3.79,20.18,349.95,MBA,,,63.41
,16.59,2460600.5,0.1532,2.256,4.72,227.09,114.59,MBA,,,274.63
,16.73,2460600.5,0.2051,2.163,1.82,86.69,246.77,MBA,0.060,2.985,100.44
,14.95,2460600.5,0.0426,2.969,1.88,155.35,144.52,MBA,,,94.21
,15.17,2460600.5,0.0736,3.143,6.37,196.70,240.33,MBA,,,177.98
,15.49,2460600.5,0.2440,2.997,2.34,166.29,154.43,MBA,0.052,5.341,41.86
,16.58,2460600.5,0.2172,2.241,4.89,194.07,127.54,MBA,0.067,2.955,307.95
,15.33,2460600.5,0.1172,3.109,7.87,156.78,201.70,MBA,0.043,6.116,290.07
,15.56,2460600.5,0.1160,2.917,0.95,281.35,65.14,MBA,,,109.04
,15.64,2460600.5,0.1108,3.054,0.46,265.71,60.79,MBA,0.051,4.254,13.04
,16.99,2460600.5,0.1198,2.2,2.04,270.19,7.12,MBA,,,84.91
Rendafuzhong,17.60,2460600.5,0.2345,2.131,2.39,164.25,162.84,MCA,,,160.69
,15.15,2460600.5,0.0923,3.212,3.62,209.31,248.44,OMB,,,128.67
,14.88,2460600.5,0.1120,3.154,17.87,19.74,69.02,MBA,,,172.25
,14.99,2460600.5,0.0969,3.221,6.82,29.76,340.22,OMB,,,205.81
,17.20,2460600.5,0.2068,2.181,3.18,27.39,339.65,MBA,,,42.70
,17.30,2460600.5,0.1746,2.226,0.85,321.41,6.62,MBA,0.032,2.568,346.63
,15.25,2460600.5,0.0716,3.02,1.72,48.22,308.58,MBA,,,357.63
,16.60,2460600.5,0.2159,2.341,2.62,22.03,272.57,MBA,,,137.36
,16.61,2460600.5,0.1927,2.257,4.66,46.82,271.18,MBA,,,288.11
,16.95,2460600.5,0.2028,2.331,1.75,346.40,86.53,MBA,,,81.89
,16.53,2460600.5,0.1638,2.29,8.45,47.65,269.08,MBA,,,239.90
,15.10,2460600.5,0.1311,3.153,5.44,66.84,313.63,MBA,,,241.58
,16.69,2460600.5,0.1354,2.296,6.16,81.62,346.86,MBA,0.172,1.760,143.96
,16.05,2460600.5,0.2296,2.225,3.49,64.60,237.59,MBA,,,22.56
,16.71,2460600.5,0.1229,2.281,3.52,119.29,285.26,MBA,,,182.06
,15.49,2460600.5,0.1940,3.196,3.53,23.07,323.26,MBA,,,233.80
,14.50,2460600.5,0.1850,3.145,15.32,28.13,305.69,MBA,0.047,8.842,284.75
,17.20,2460600.5,0.1392,2.21,5.10,138.28,273.63,MBA,,,306.54
,16.73,2460600.5,0.2025,2.366,0.79,312.42,44.93,MBA,,,79.30
,14.93,2460600.5,0.0592,3.071,11.10,45.95,233.38,MBA,,,57.55
,13.90,2460600.5,0.1698,3.969,1.94,121.88,235.48,OMB,0.071,9.489,135.51
,15.53,2460600.5,0.2868,2.994,6.03,105.76,247.05,MBA,,,29.97
,16.71,2460600.5,0.1800,2.247,2.17,307.11,62.51,MBA,,,277.70
,16.96,2460600.5,0.2460,2.326,2.76,190.16,249.36,MBA,,,92.02
,16.22,2460600.5,0.2868,2.276,3.37,297.77,142.46,MCA,,,186.03
,16.91,2460600.5,0.2171,2.259,2.66,68.93,333.93,MBA,,,236.42
,16.46,2460600.5,0.2468,2.352,6.12,106.30,306.35,MBA,,,70.33
,16.23,2460600.5,0.1838,2.287,6.13,43.71,306.55,MBA,,,218.23
,16.72,2460600.5,0.1770,2.339,3.18,105.97,328.37,MBA,,,100.70
,14.65,2460600.5,0.0856,3.066,9.57,18.15,19.31,MBA,0.101,5.034,299.15
,16.44,2460600.5,0.1369,2.246,4.30,310.31,64.06,MBA,,,279.56
,15.13,2460600.5,0.2145,2.28,24.25,97.50,352.57,MBA,0.374,2.345,163.05
,15.82,2460600.5,0.1801,2.286,5.56,66.31,117.41,MBA,0.343,1.803,88.83
,16.90,2460600.5,0.1404,2.203,7.57,45.36,16.52,MBA,,,327.81
,15.45,2460600.5,0.2963,3.226,0.41,23.08,276.95,OMB,,,237.43
,16.42,2460600.5,0.1300,2.344,5.38,276.11,169.25,MBA,,,88.89
,17.11,2460600.5,0.1474,2.332,6.76,42.74,285.98,MBA,,,162.20
,17.13,2460600.5,0.2409,2.329,1.42,208.51,163.87,MBA,,,128.37
,17.08,2460600.5,0.1692,2.157,1.56,187.19,151.60,MBA,,,123.88
,17.23,2460600.5,0.1868,2.333,2.19,194.13,115.35,MBA,,,182.47
,16.98,2460600.5,0.1561,2.319,4.03,89.40,356.35,MBA,,,101.29
,15.14,2460600.5,0.0803,3.151,4.15,85.26,199.96,MBA,0.058,5.500,355.14
,16.46,2460600.5,0.1419,2.188,2.48,102.65,276.39,MBA,,,33.62
,16.12,2460600.5,0.2060,2.257,5.31,353.69,321.73,MBA,,,318.27
,15.87,2460600.5,0.1125,2.322,21.65,238.31,218.16,MBA,0.287,1.971,101.45
,14.95,2460600.5,0.0851,3.176,9.47,61.01,321.07,MBA,0.046,7.090,239.08
,15.64,2460600.5,0.1442,3.172,0.66,119.51,339.93,MBA,0.092,3.476,173.69
,16.89,2460600.5,0.1822,2.307,3.78,272.96,133.73,MBA,,,176.36
,16.84,2460600.5,0.0954,2.246,5.48,105.95,340.39,MBA,,,258.65
,16.73,2460600.5,0.0916,2.404,4.75,285.07,101.73,MBA,,,47.66
,15.26,2460600.5,0.0412,3.252,4.11,182.78,254.12,OMB,,,132.10
,16.81,2460600.5,0.0885,2.233,1.89,114.73,47.77,MBA,,,180.23
,16.35,2460600.5,0.1393,2.337,7.84,16.78,78.45,MBA,0.087,3.112,81.59
,15.33,2460600.5,0.1895,2.276,24.84,336.20,192.47,MBA,0.387,2.238,137.70
,16.30,2460600.5,0.1271,2.274,7.85,113.43,345.80,MBA,,,176.79
,17.19,2460600.5,0.1810,2.322,3.35,111.44,316.38,MBA,,,136.04
,16.41,2460600.5,0.1071,2.277,5.11,313.86,248.12,MBA,,,119.39
,15.63,2460600.5,0.0817,2.333,12.50,115.18,33.88,MBA,,,64.58
,15.94,2460600.5,0.1864,2.324,5.29,305.90,110.13,MBA,0.169,2.569,149.46
Liangshanxichang,16.87,2460600.5,0.1039,2.274,4.11,94.93,7.42,MBA,,,167.55
,16.65,2460600.5,0.0694,2.278,3.51,278.04,279.08,MBA,,,106.56
,16.69,2460600.5,0.1807,2.388,1.04,33.69,50.35,MBA,,,13.50
,16.76,2460600.5,0.1677,2.287,3.43,80.48,317.51,MBA,,,215.08
,13.87,2460600.5,0.1612,3.948,7.92,211.73,99.41,OMB,0.065,9.967,204.02
,17.12,2460600.5,0.1416,2.317,2.45,281.54,315.88,MBA,0.047,2.446,9.62
Jiaxingnanhu,16.14,2460600.5,0.3306,2.277,11.01,113.92,292.56,MCA,0.447,1.375,234.83
Michellecrigger,15.87,2460600.5,0.2299,2.259,26.13,359.45,70.21,MBA,,,245.79
,14.46,2460600.5,0.2785,3.014,6.90,53.30,231.91,MBA,0.096,6.198,64.16
,16.97,2460600.5,0.0998,2.3,5.37,304.13,133.52,MBA,,,181.24
,16.89,2460600.5,0.2082,2.257,6.30,289.84,62.40,MBA,0.068,2.447,320.46
,16.88,2460600.5,0.1170,2.395,0.98,328.03,67.36,MBA,,,65.50
,16.35,2460600.5,0.1622,2.289,4.12,136.02,17.01,MBA,,,133.13
,16.39,2460600.5,0.1408,2.325,7.42,58.30,30.90,MBA,,,135.98
,16.84,2460600.5,0.1526,2.378,1.49,213.00,283.52,MBA,,,356.18
Christopharnold,15.53,2460600.5,0.2823,2.324,26.25,98.34,331.14,MBA,0.258,2.175,121.83
,16.44,2460600.5,0.1003,2.397,2.43,351.34,203.88,MBA,0.046,3.753,276.64
,16.30,2460600.5,0.1676,2.326,7.47,156.11,317.49,MBA,0.055,3.728,123.46
Minodamato,16.36,2460600.5,0.1378,2.304,4.04,323.55,60.54,MBA,,,214.13
,16.37,2460600.5,0.1776,2.42,4.43,150.68,336.92,MBA,0.258,1.577,312.17
,16.28,2460600.5,0.1774,2.35,1.47,227.20,332.31,MBA,0.318,1.421,359.65
Galliano,16.95,2460600.5,0.1300,2.391,3.27,137.32,18.74,MBA,,,335.57
,15.38,2460600.5,0.0543,2.201,4.89,235.47,196.69,MBA,0.390,2.230,4.43
,17.49,2460600.5,0.2209,2.316,1.49,337.59,77.92,MBA,,,150.62
,17.29,2460600.5,0.2076,2.314,0.62,305.52,137.63,MBA,,,137.79
,16.89,2460600.5,0.1398,2.401,3.16,116.15,30.72,MBA,,,313.46
,16.81,2460600.5,0.0856,2.275,6.02,254.19,155.53,MBA,,,205.41
,15.85,2460600.5,0.1324,2.434,5.18,310.70,57.04,MBA,,,30.52
,16.76,2460600.5,0.0943,2.385,3.56,316.87,134.89,MBA,,,31.01
,17.00,2460600.5,0.1163,2.418,2.20,319.28,176.90,MBA,,,304.42
,16.94,2460600.5,0.1746,2.312,7.25,112.47,272.85,MBA,,,192.47
Wadesisler,16.74,2460600.5,0.2185,1.825,40.01,115.90,119.51,MCA,,,87.54
,16.63,2460600.5,0.1089,2.342,3.62,70.07,70.36,MBA,,,62.42
,16.00,2460600.5,0.2265,2.339,6.02,122.28,263.84,MBA,,,157.68
,14.84,2460600.5,0.2051,2.303,23.93,359.99,189.81,MBA,0.400,2.900,85.88
,14.87,2460600.5,0.1710,2.297,25.16,320.24,339.15,MBA,0.335,2.892,340.98
,16.73,2460600.5,0.1982,2.263,22.66,328.89,123.34,MBA,0.071,2.380,228.48
,14.45,2460600.5,0.1136,2.255,23.39,299.11,134.85,MBA,,,264.08
,15.63,2460600.5,0.2187,2.318,23.48,314.73,116.38,MBA,,,153.56
,16.50,2460600.5,0.1048,2.339,5.66,302.08,329.08,MBA,,,312.94
,15.99,2460600.5,0.1855,2.277,25.06,340.61,45.60,MBA,0.059,4.340,252.46
,16.12,2460600.5,0.1792,2.332,25.20,110.63,336.89,MBA,0.062,3.515,125.50
,16.63,2460600.5,0.2118,2.327,3.79,126.74,317.94,MBA,,,120.51
,16.53,2460600.5,0.2009,2.359,3.13,350.82,227.42,MBA,0.369,1.203,334.70
,14.01,2460600.5,0.1927,3.951,9.60,139.31,330.61,OMB,0.060,9.460,124.76
,16.22,2460600.5,0.1004,2.521,2.28,341.82,147.36,MBA,,,161.31
,15.76,2460600.5,0.1300,2.266,4.59,31.22,128.97,MBA,0.200,2.471,177.01
,15.83,2460600.5,0.1677,2.273,6.26,352.64,44.65,MBA,0.153,2.589,269.39
,16.94,2460600.5,0.1523,2.299,0.50,18.59,98.44,MBA,,,155.21
,15.83,2460600.5,0.1352,2.299,7.33,83.09,121.18,MBA,0.271,2.125,86.23
,15.79,2460600.5,0.0920,2.323,6.21,353.39,166.78,MBA,0.331,1.921,84.40
,15.88,2460600.5,0.1883,2.384,3.53,87.42,2.81,MBA,0.252,2.007,33.76
,16.76,2460600.5,0.1568,2.333,2.55,27.87,120.74,MBA,,,78.73
,16.60,2460600.5,0.1976,2.301,6.80,168.41,336.03,MBA,,,129.52
,16.11,2460600.5,0.1502,2.389,8.24,314.10,260.73,MBA,,,291.80
,15.96,2460600.5,0.1701,2.318,8.43,296.67,295.48,MBA,0.152,2.590,36.48
,17.13,2460600.5,0.1401,2.301,2.87,117.30,45.50,MBA,,,109.22
,16.75,2460600.5,0.2020,2.36,3.65,39.09,47.18,MBA,,,66.35
,17.01,2460600.5,0.1639,2.389,0.88,150.12,332.97,MBA,,,357.64
,16.64,2460600.5,0.1707,2.306,2.01,204.43,311.31,MBA,,,112.30
,16.73,2460600.5,0.1563,2.337,2.17,193.68,348.60,MBA,0.208,1.273,42.14
,16.55,2460600.5,0.1394,2.442,2.06,298.61,255.10,MBA,,,233.76
,15.63,2460600.5,0.1595,2.267,23.86,90.53,83.06,MBA,0.075,4.428,156.94
,16.93,2460600.5,0.1226,2.296,0.72,115.85,78.30,MBA,,,86.69
,17.22,2460600.5,0.1529,2.31,2.95,317.88,287.96,MBA,0.045,2.282,15.70
,14.52,2460600.5,0.1752,2.546,14.89,344.64,15.15,MBA,0.280,3.632,273.43
,17.35,2460600.5,0.1368,2.384,0.75,190.84,295.71,MBA,,,15.47
,15.30,2460600.5,0.1592,3.19,2.04,59.74,316.98,MBA,,,230.17
,17.01,2460600.5,0.1791,2.327,2.18,330.74,147.81,MBA,,,115.90
,15.96,2460600.5,0.2123,2.298,8.57,345.87,286.99,MBA,0.083,3.562,48.01
,16.17,2460600.5,0.1171,2.418,1.28,158.67,273.16,MBA,,,18.25
,16.69,2460600.5,0.1012,2.333,2.80,190.74,345.58,MBA,0.053,3.181,51.69
,15.85,2460600.5,0.1793,2.419,7.45,129.33,315.19,MBA,0.259,2.170,0.94
,14.38,2460600.5,0.2233,4.005,2.72,347.15,96.31,OMB,,,129.68
,16.43,2460600.5,0.1404,2.355,2.50,9.87,123.98,MBA,,,75.51
,16.27,2460600.5,0.1749,2.388,1.34,12.79,273.78,MBA,,,259.99
,16.28,2460600.5,0.1656,2.382,2.82,183.05,37.96,MBA,0.241,1.487,324.44
,16.02,2460600.5,0.1865,2.325,23.45,180.24,312.43,MBA,,,119.99
,16.65,2460600.5,0.2049,2.37,7.69,192.23,271.68,MBA,0.130,1.764,70.60
,16.34,2460600.5,0.1934,2.411,5.08,23.25,75.87,MBA,,,16.08
,15.17,2460600.5,0.2591,2.369,22.87,178.31,299.34,MBA,0.282,2.618,39.64
,16.86,2460600.5,0.1480,2.346,2.50,359.45,150.84,MBA,,,62.26
,17.35,2460600.5,0.1312,2.455,0.30,259.85,252.61,MBA,,,249.74
,15.71,2460600.5,0.1405,2.518,4.23,3.15,338.70,MBA,,,342.14
,16.79,2460600.5,0.1699,2.329,1.32,134.05,104.68,MBA,,,36.75
,16.16,2460600.5,0.1985,2.368,2.40,160.39,293.06,MBA,,,88.47
,15.99,2460600.5,0.2128,2.36,8.58,6.78,155.50,MBA,0.268,1.949,36.02
,16.38,2460600.5,0.1517,2.372,3.11,78.94,97.50,MBA,0.279,1.448,11.33
"Vyssi Brod",15.90,2460600.5,0.1845,2.296,8.88,345.73,104.04,MBA,,,197.70
,16.07,2460600.5,0.1541,2.351,2.82,62.37,100.75,MBA,,,53.56
,16.10,2460600.5,0.1610,2.355,3.27,86.31,65.52,MBA,0.232,1.907,56.87
,16.03,2460600.5,0.1389,2.369,4.52,325.46,228.07,MBA,,,347.45
,15.97,2460600.5,0.1477,2.395,2.89,30.91,195.53,MBA,0.341,1.650,284.70
,15.84,2460600.5,0.0814,2.476,8.38,13.00,158.57,MBA,,,200.92
,16.46,2460600.5,0.1052,2.338,3.55,82.16,67.29,MBA,0.058,3.323,74.71
,16.09,2460600.5,0.2196,2.345,4.62,313.21,317.77,MBA,0.039,3.972,330.25
,16.37,2460600.5,0.0843,2.34,5.30,259.28,355.09,MBA,,,342.03
,16.01,2460600.5,0.1276,2.33,5.02,341.63,82.30,MBA,,,165.23
,16.30,2460600.5,0.1147,2.396,3.05,128.34,97.44,MBA,0.060,3.437,280.72
,16.42,2460600.5,0.1620,2.477,1.01,43.51,195.31,MBA,,,161.87
,16.59,2460600.5,0.1316,2.361,1.86,325.56,264.01,MBA,0.054,2.868,337.72
,16.25,2460600.5,0.1276,2.426,6.64,114.83,58.73,MBA,0.292,1.552,288.20
Ericneilsen,15.39,2460600.5,0.1819,2.795,18.22,6.16,333.59,MBA,0.107,3.536,23.94
,16.55,2460600.5,0.1596,2.357,4.79,4.97,146.68,MBA,0.070,2.887,50.36
,15.64,2460600.5,0.2520,2.564,4.15,113.47,132.31,MBA,0.053,4.545,57.86
,16.59,2460600.5,0.1614,2.466,2.12,189.46,78.84,MBA,,,161.26
,14.92,2460600.5,0.2169,2.305,23.30,99.54,50.47,MBA,0.105,5.168,130.40
,15.44,2460600.5,0.1430,2.315,21.19,194.23,14.99,MBA,0.051,5.172,85.41
,16.07,2460600.5,0.1636,2.343,4.56,259.57,278.40,MBA,0.362,1.528,46.87
,16.26,2460600.5,0.2035,2.346,0.59,187.14,125.08,MBA,,,310.65
,16.53,2460600.5,0.1043,2.315,4.74,24.89,210.84,MBA,,,56.07
,15.94,2460600.5,0.1709,2.35,3.12,60.74,163.94,MBA,0.394,1.606,5.87
,15.47,2460600.5,0.1293,2.699,13.67,25.54,217.43,MBA,,,230.36
,15.69,2460600.5,0.1267,2.319,4.05,81.50,72.84,MBA,,,117.91
,16.68,2460600.5,0.1812,2.373,2.09,164.57,90.17,MBA,,,313.88
,15.92,2460600.5,0.2517,2.332,8.93,75.13,208.73,MBA,0.332,1.595,0.49
,16.53,2460600.5,0.0710,2.438,4.69,186.73,271.68,MBA,0.044,3.655,335.82
,16.23,2460600.5,0.1071,2.362,4.21,215.95,335.56,MBA,0.278,1.745,18.11
,16.17,2460600.5,0.1922,2.388,9.67,20.52,104.20,MBA,0.266,1.866,14.12
,16.18,2460600.5,0.1775,2.362,11.09,22.99,115.49,MBA,0.071,3.438,56.07
Koyoharugotoge,17.07,2460600.5,0.0290,1.885,23.30,71.53,173.21,IMB,,,271.44
,16.66,2460600.5,0.1960,2.37,2.42,261.58,295.75,MBA,,,10.48
,16.02,2460600.5,0.0467,2.778,0.73,123.22,177.66,MBA,,,105.42
,16.52,2460600.5,0.1252,2.4,1.27,240.22,321.61,MBA,,,310.18
,16.23,2460600.5,0.1303,2.444,1.65,247.79,300.44,MBA,,,260.27
,16.16,2460600.5,0.1772,2.364,4.86,104.83,92.47,MBA,0.311,1.588,9.54
,16.38,2460600.5,0.1351,2.41,1.57,283.98,303.47,MBA,0.208,1.675,285.42
,15.84,2460600.5,0.2254,2.394,9.47,359.29,278.83,MBA,0.085,3.432,263.72
,15.29,2460600.5,0.2799,2.332,21.96,229.28,258.72,MBA,,,121.91
,16.05,2460600.5,0.0934,2.379,6.93,49.49,225.27,MBA,,,295.65
,16.02,2460600.5,0.1907,2.443,12.09,92.06,39.56,MBA,0.103,3.069,311.05
Garydavis,16.06,2460600.5,0.1136,2.338,7.22,167.87,2.53,MBA,,,87.84
Kenflurchick,15.78,2460600.5,0.2176,2.385,9.73,12.93,241.39,MBA,0.141,2.762,304.70
,16.52,2460600.5,0.1595,2.625,5.10,56.81,83.55,MBA,,,67.84
,16.32,2460600.5,0.2454,2.679,2.96,71.53,176.11,MBA,,,267.52
,16.08,2460600.5,0.1165,2.329,6.01,61.23,189.33,MBA,,,34.38
,16.32,2460600.5,0.1628,2.353,3.18,76.89,150.12,MBA,,,14.66
,16.38,2460600.5,0.1594,2.416,3.23,66.99,135.26,MBA,0.325,1.342,296.82
,16.20,2460600.5,0.1806,2.35,4.37,331.58,235.00,MBA,0.068,3.379,35.16
,16.45,2460600.5,0.1330,2.414,3.13,47.29,199.99,MBA,,,265.78
,15.57,2460600.5,0.1766,2.538,5.88,220.75,15.90,MBA,,,99.85
,16.52,2460600.5,0.1496,2.388,2.17,115.59,132.65,MBA,0.223,1.548,305.15
,16.32,2460600.5,0.0770,2.402,6.96,50.61,193.30,MBA,,,286.31
,16.70,2460600.5,0.1829,2.356,1.99,181.28,63.98,MBA,,,0.67
,15.79,2460600.5,0.2693,2.401,9.40,75.81,183.48,MBA,0.183,2.465,282.35
,16.04,2460600.5,0.1979,2.428,4.67,80.41,102.88,MBA,0.078,3.262,289.61
,15.70,2460600.5,0.2030,2.404,6.45,107.37,137.27,MBA,,,276.85
