"name","H","epoch","e","a","i","om","w","class","albedo","diameter","ma"
Polana,10.57,2460600.5,0.1331,2.421,2.24,291.09,292.15,MBA,0.047,54.812,206.96
Adria,9.35,2460600.5,0.0729,2.761,11.44,332.96,251.92,MBA,0.044,95.377,151.27
Vibilia,8.12,2460600.5,0.2358,2.653,4.82,76.16,294.47,MBA,0.0597,142.38,103.27
Adeona,8.43,2460600.5,0.1472,2.672,12.62,77.32,45.21,MBA,0.061,127.783,189.04
Lucina,8.53,2460600.5,0.0658,2.718,13.10,83.93,145.22,MBA,0.036,160.310,139.68
Protogeneia,8.76,2460600.5,0.0223,3.138,1.93,248.21,103.38,MBA,0.0492,132.93,262.44
Gallia,7.65,2460600.5,0.1882,2.77,25.29,144.96,252.43,MBA,0.1640,97.75,71.84
Medusa,10.55,2460600.5,0.0651,2.174,0.94,159.62,250.51,MBA,0.152,23.719,122.72
Nuwa,8.60,2460600.5,0.1236,2.983,2.20,206.11,154.17,MBA,0.052,119.128,348.91
Abundantia,9.36,2460600.5,0.0358,2.592,6.43,38.73,132.41,MBA,0.233,39.037,128.98
Atala,8.39,2460600.5,0.0825,3.137,12.12,39.87,58.96,MBA,0.257,58.964,224.93
Hilda,7.76,2460600.5,0.1387,3.971,7.83,228.09,39.32,OMB,0.0618,170.63,63.65
Bertha,7.68,2460600.5,0.0769,3.194,21.02,36.49,167.56,MBA,0.044,192.611,273.91
Scylla,11.16,2460600.5,0.2727,2.761,11.36,40.55,46.78,MBA,0.027,39.605,158.11
Xanthippe,8.84,2460600.5,0.2238,2.733,9.78,241.78,338.59,MBA,0.030,143.346,198.86
Dejanira,11.19,2460600.5,0.1982,2.58,12.16,62.03,46.21,MBA,0.173,19.959,305.46
Koronis,9.37,2460600.5,0.0533,2.868,1.01,277.65,147.26,MBA,0.213,39.025,258.96
Aemilia,8.31,2460600.5,0.0994,3.107,6.11,133.86,333.47,MBA,0.064,125.236,34.14
Una,9.10,2460600.5,0.0659,2.727,3.82,8.54,49.95,MBA,0.0625,81.24,83.82
Athor,9.33,2460600.5,0.1368,2.38,9.06,18.55,295.06,MBA,0.230,40.992,74.33
Laurentia,9.13,2460600.5,0.1825,3.015,6.09,35.44,115.61,MBA,0.051,97.021,145.09
Erigone,9.80,2460600.5,0.1921,2.366,4.82,160.01,298.38,MBA,0.033,81.579,12.01
Eva,8.81,2460600.5,0.3467,2.632,24.48,76.78,284.05,MBA,0.029,100.254,192.12
Loreley,7.82,2460600.5,0.0836,3.127,11.23,302.43,344.65,MBA,0.047,180.083,303.79
Rhodope,9.87,2460600.5,0.2105,2.687,12.02,128.88,264.13,MBA,0.046,52.393,187.35
Urda,9.40,2460600.5,0.0372,2.854,2.22,166.10,127.52,MBA,0.223,39.935,296.61
Sibylla,8.29,2460600.5,0.0748,3.374,4.67,205.92,176.44,OMB,0.056,145.366,285.88
Zelia,9.57,2460600.5,0.1302,2.358,5.50,354.72,334.81,MBA,0.188,37.517,346.23
Maria,9.36,2460600.5,0.0614,2.554,14.36,301.19,158.54,MBA,0.282,33.136,93.38
Ophelia,8.65,2460600.5,0.1324,3.129,2.55,100.47,55.33,MBA,0.076,130.808,186.58
Baucis,8.73,2460600.5,0.1143,2.38,10.02,331.90,359.23,MBA,0.1382,62.43,260.89
Ino,7.99,2460600.5,0.2098,2.741,14.20,148.13,228.57,MBA,0.096,125.821,108.48
Phaedra,8.45,2460600.5,0.1449,2.86,12.10,327.27,290.86,MBA,0.169,64.849,219.76
Andromache,8.65,2460600.5,0.2319,3.185,3.22,21.28,319.75,MBA,0.094,94.532,196.86
Iduna,8.45,2460600.5,0.1719,3.179,22.68,200.46,188.91,MBA,0.065,106.976,325.36
Irma,9.64,2460600.5,0.2342,2.771,1.38,346.93,39.67,MBA,0.022,69.049,321.78
Belisana,9.54,2460600.5,0.0418,2.462,1.89,51.09,213.29,MBA,0.2438,35.81,165.10
Klytaemnestra,8.28,2460600.5,0.1096,2.974,7.82,251.83,104.41,MBA,0.198,69.946,294.88
Garumna,10.33,2460600.5,0.1683,2.72,0.87,311.83,175.91,MBA,0.242,23.440,240.57
Eucharis,8.09,2460600.5,0.2082,3.125,18.90,142.98,318.86,MBA,0.101,115.383,207.33
Elsa,9.15,2460600.5,0.1868,2.415,2.01,107.17,310.51,MBA,0.196,39.520,87.47
Istria,9.49,2460600.5,0.3483,2.795,26.39,141.84,264.09,MBA,0.227,32.927,208.33
Dejopeja,8.39,2460600.5,0.0595,3.196,1.13,330.21,216.93,MBA,0.215,62.483,271.85
Eunike,7.64,2460600.5,0.1271,2.739,23.25,153.74,223.93,MBA,0.062,160.464,260.06
Celuta,9.11,2460600.5,0.1493,2.362,13.19,14.71,315.59,MBA,0.1929,49.99,9.90
Lamberta,8.41,2460600.5,0.2400,2.728,10.58,21.67,196.69,MBA,0.044,147.294,154.07
Menippe,9.31,2460600.5,0.1788,2.762,11.70,240.82,69.74,MBA,0.242,35.752,271.59
Phthia,9.40,2460600.5,0.0364,2.451,5.18,203.34,169.81,MBA,0.170,38.490,26.03
Ismene,7.91,2460600.5,0.1683,3.995,6.17,175.42,271.30,OMB,0.066,159,146.33
Kolga,9.11,2460600.5,0.0873,2.896,11.52,159.18,226.56,MBA,0.046,94.536,206.93
Nausikaa,7.21,2460600.5,0.2456,2.403,6.80,343.09,30.58,MBA,0.327,98.776,167.54
Ambrosia,9.81,2460600.5,0.2983,2.598,12.00,349.49,82.57,MBA,0.343,26.302,315.45
Prokne,7.87,2460600.5,0.2371,2.616,18.51,159.25,163.21,MBA,0.057,161.667,21.23
Eurykleia,9.27,2460600.5,0.0389,2.878,6.96,6.87,117.99,MBA,0.051,93.109,0.29
Philomela,6.73,2460600.5,0.0144,3.112,7.26,72.30,203.41,MBA,0.342,144.626,86.86
Arete,9.57,2460600.5,0.1628,2.74,8.79,81.56,245.99,MBA,0.373,31.729,313.16
Ampella,8.56,2460600.5,0.2275,2.458,9.32,268.20,89.08,MBA,0.268,54.323,177.53
Byblis,8.52,2460600.5,0.1832,3.161,15.48,88.42,179.52,MBA,0.107,76.129,252.44
Dynamene,8.47,2460600.5,0.1331,2.737,6.90,324.24,87.14,MBA,0.053,128.301,301.21
Penelope,8.59,2460600.5,0.1791,2.679,5.76,156.90,181.15,MBA,0.040,85.877,33.53
Chryseis,7.69,2460600.5,0.1048,3.068,8.85,136.70,359.58,MBA,0.2562,86.15,202.62
Pompeja,8.95,2460600.5,0.0600,2.736,3.17,347.70,60.28,MBA,0.036,124.592,337.40
Kallisto,9.02,2460600.5,0.1749,2.674,8.27,204.99,56.50,MBA,0.194,48.566,186.50
Martha,9.47,2460600.5,0.0363,2.776,10.71,211.72,171.47,MBA,0.061,76.983,123.01
Hersilia,8.95,2460600.5,0.0400,2.74,3.78,145.03,302.76,MBA,0.057,113,277.59
Hedda,10.28,2460600.5,0.0291,2.284,3.80,29.14,191.93,MBA,0.058,57.880,172.69
Lacrimosa,9.29,2460600.5,0.0111,2.893,1.74,4.16,130.08,MBA,0.206,40.056,68.84
Dido,8.33,2460600.5,0.0546,3.146,7.17,0.63,249.78,MBA,0.028,179.008,119.88
Isabella,9.38,2460600.5,0.1236,2.721,5.26,32.55,13.80,MBA,0.0436,86.65,93.15
Isolda,8.00,2460600.5,0.1548,3.047,3.87,263.17,173.55,MBA,0.062,141.125,97.04
Medea,8.50,2460600.5,0.1029,3.118,4.28,312.89,105.62,MBA,0.0465,136.12,200.73
Lilaea,9.13,2460600.5,0.1442,2.757,6.80,121.93,163.27,MBA,0.092,82.096,125.80
Aschera,9.35,2460600.5,0.0308,2.612,3.44,341.91,136.55,MBA,1.000,24.957,142.73
Oenone,9.60,2460600.5,0.0336,2.766,1.68,24.89,318.69,MBA,0.243,35.210,10.72
Kleopatra,7.11,2460600.5,0.2508,2.794,13.12,215.32,179.75,MBA,0.1164,122,133.31
Eudora,9.92,2460600.5,0.3098,2.867,10.52,162.57,155.13,MBA,0.049,65.392,238.61
Bianca,8.71,2460600.5,0.1163,2.667,15.20,170.56,62.34,MBA,0.1746,60.62,129.73
Thusnelda,9.40,2460600.5,0.2228,2.354,10.86,200.77,142.76,MBA,0.189,37.674,336.67
Stephania,11.24,2460600.5,0.2574,2.348,7.60,257.83,78.60,MBA,0.055,31.738,231.13
Eos,7.76,2460600.5,0.1013,3.013,10.89,141.72,192.52,MBA,0.166,95.469,273.54
Lucia,9.65,2460600.5,0.1297,3.155,2.15,80.12,183.88,MBA,0.128,55.350,156.75
Rosa,9.85,2460600.5,0.1205,3.093,1.92,47.54,65.56,MBA,0.020,79.806,128.94
Oceana,8.74,2460600.5,0.0449,2.646,5.84,352.75,282.04,MBA,0.166,58.236,331.00
Henrietta,8.83,2460600.5,0.2618,3.396,20.85,197.04,103.74,OMB,0.062,95.934,272.98
Weringia,9.88,2460600.5,0.2035,2.713,15.97,134.94,153.74,MBA,0.352,31.494,317.29
Philosophia,9.17,2460600.5,0.1991,3.158,9.07,324.71,271.09,MBA,0.065,123.891,233.02
Agathe,12.29,2460600.5,0.2423,2.201,2.54,313.24,19.09,MBA,0.2082,9.30,184.54
Adelinda,9.36,2460600.5,0.1364,3.422,2.08,27.84,309.04,OMB,0.035,105.912,187.42
Athamantis,7.53,2460600.5,0.0613,2.382,9.46,239.77,139.09,MBA,0.164,111.332,200.45
Vindobona,9.73,2460600.5,0.1570,2.918,5.09,350.31,269.16,MBA,0.068,73.545,243.71
Russia,10.61,2460600.5,0.1727,2.555,6.06,152.13,51.96,MBA,0.031,54.730,218.97
Asterope,8.47,2460600.5,0.1012,2.661,7.69,221.93,126.27,MBA,0.094,99.672,98.83
Barbara,9.14,2460600.5,0.2456,2.386,15.38,144.44,192.40,MBA,0.205,45.476,99.39
Carolina,9.00,2460600.5,0.0606,2.881,9.03,65.99,207.91,MBA,0.177,57.517,63.91
Honoria,8.24,2460600.5,0.1900,2.799,7.70,185.81,174.32,MBA,0.156,77.708,206.91
