id,name,class,mass,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
53,Eurydome,SAT,44960050000000,3.8701118312809419,2.9510090700550693,-0.027305587201090331,-0.0043568030746103745,0.0076817699406538922,-0.00043304162478483319
54,Euanthe,SAT,44960050000000,4.0733440263975389,2.8744960008431533,-0.15230561154466588,-0.0055134374895871785,0.0050028994148312604,0.00063385347104095058
55,Euporie,SAT,14986680000000,3.9515709200134146,2.8235880112354703,-0.099462549719348842,-0.0058163355709204842,0.0068258421816687759,-0.00076156928346405662
56,Orthosie,SAT,14986680000000,3.8519182009606689,2.9779436528308683,-0.017680716159748741,-0.0041833625196890361,0.0073481909731408805,0.00047890746621972237
57,Sponde,SAT,14986680000000,3.9028413517398026,2.7753905984609823,-0.1804741522012337,-0.0053293832069927381,0.0070517273523852727,-0.00020388949607024658
58,Kale,SAT,14986680000000,3.8203550311495018,2.9648638575951818,-0.14176049196705051,-0.0043858700762746941,0.0074952489330824676,-2.6274961431190912e-05
59,Pasithee,SAT,14986680000000,3.9658909572684924,2.7549073941802691,-0.053643089918128682,-0.0055142778328791655,0.0069249865151909803,0.00016037075605997869
60,Hegemone,SAT,44960050000000,4.0130376123640943,2.7538707425654732,-0.026815551823947181,-0.0054715870841255849,0.006825230692905325,0.00036093227787852814
61,Mneme,SAT,14986680000000,3.979312683139836,3.0757170805007097,-0.19004149131331949,-0.0034213705804419106,0.0063761837364340107,0.00012972552645521012
62,Aoede,SAT,89920110000000,4.0710561891599806,2.7163318899398421,-0.17752228679998466,-0.0052592743248509061,0.0064396379411811849,-4.7667160494946478e-05
63,Thelxinoe,SAT,14986680000000,4.1285049038603434,2.8774645405767822,-0.12765137501999393,-0.0054000862190834971,0.0054705343823212918,-0.00050314948264389169
64,Arche,SAT,44960050000000,3.9566342600916018,3.0506369195932121,-0.12743844570325424,-0.0031836060859469851,0.0071598987366013082,-0.00031738987687426743
65,Kallichore,SAT,14986680000000,4.0862216571983971,2.8252217042571552,-0.067702115351682426,-0.0055754619919448269,0.0054313038508405917,0.00020639275876210839
66,Helike,SAT,89920110000000,4.0030940768797336,3.0614646091630688,-0.097368553684888295,-0.0031511043755772898,0.0066151969872173108,0.00072930682491186721
67,Carpo,SAT,44960050000000,4.0054308223672477,3.0021244540826486,-0.036933379408350689,-0.0059528493322972076,0.0054441050841037442,0.00087124623497928191
68,Eukelade,SAT,89920110000000,4.1152256486887993,3.0835167761305287,-0.076536398078562329,-0.00378029968022929,0.0056713878731296449,-0.00017706738577721268
69,Cyllene,SAT,14986680000000,4.0056750253139324,2.7436707795003104,-0.14656875929107591,-0.0053804039152395323,0.0061906822773885647,0.00064506608370912158
70,Kore,SAT,14986680000000,3.9196564658808479,3.0353030457068186,-0.13135558984290344,-0.0037271176595814288,0.007243746094046594,-0.00097443423017753625
71,Herse,SAT,14986680000000,3.8235341176366799,2.9776139075329628,-0.056568517470034552,-0.0046095617703598626,0.0075042103730827026,-8.4149895915137051e-05
72,Dia,SAT,5520000000000,4.0497343266140984,2.9807218260033128,-0.070148219309093929,-0.0060743576980420693,0.0078328990599931987,-0.00035248757407182416
73,Eirene,SAT,5520000000000,3.9239301644778779,3.0210878787418816,-0.080454432304838147,-0.0031730893846982616,0.0073835141536020884,0.00030920518369099612
74,Philophrosyne,SAT,2760000000000,3.9215943743925017,3.0254349935844216,-0.020033007711469805,-0.0036808349652945548,0.0075093163272475852,1.0612122216003999e-05
75,Eupheme,SAT,2760000000000,3.9075256365559916,2.9088476273323254,-0.07086001078165341,-0.0045344973066487135,0.0081626677489434925,0.00074498116576557859
76,Valetudo,SAT,1380000000000,4.1145603266514659,2.9164140743565401,-0.041222618815800381,-0.00432454970764274,0.0078222463898080536,0.00052648102127396596
77,Pandia,SAT,4140000000000,3.9630713832921867,2.8576380060254429,-0.10774663175001069,-0.003318982279172396,0.0056472805397701558,0.00084807682940018039
78,Ersa,SAT,4140000000000,4.0495361913410788,2.8742388447191813,-0.11195914992509368,-0.0034775151203870506,0.007731523092984173,-0.00079553833617220112
79,Mimas,SAT,3.75095e+19,6.4078021845701514,6.5689636842060608,-0.36953868603926071,-0.01072991751554668,-0.0003385404217352817,0.0026907388573477221
80,Enceladus,SAT,1.080321e+20,6.4069684148186701,6.5680720503233836,-0.36898857154735182,-0.0040924173751427373,-0.0025592567022218672,0.0034633443230224475
81,Tethys,SAT,6.1749779999999997e+20,6.4071090532949162,6.5669168975435666,-0.36840592030781771,0.00010939901481459274,-0.00062086928948857549,0.0019021405590319521
82,Dione,SAT,1.0954899999999999e+21,6.4073627857039099,6.5661215981311187,-0.36800510235772987,0.00079179456233135007,0.0012631312928859796,0.00098430346760260633
83,Rhea,SAT,2.3064920000000001e+21,6.4057467305063964,6.5700313664881165,-0.36988742079002523,-0.0072141494575666421,0.0005517669049508035,0.0021634955634593587
84,Titan,SAT,1.345184e+23,6.4033637256212019,6.5740746293412906,-0.37173144957751375,-0.006761295167996585,0.0022837549521619776,0.0011748827105959533
85,Hyperion,SAT,5.551031e+18,6.4111302029098347,6.5760760790711492,-0.37343995298577443,-0.0070965090385732132,0.0050590016034445457,-0.00019274834926386264
86,Iapetus,SAT,1.8056650000000001e+21,6.3889404073445224,6.5552790257244391,-0.36216939891502081,-0.003236498385338034,0.0023930545915114461,0.0002456038472612728
87,Phoebe,SAT,8.312297e+18,6.3303255786780959,6.5492795167592028,-0.36020709998309652,-0.0046832672437519453,0.0048682679835675641,0.00016219272659846886
88,Janus,SAT,1.896482e+18,6.4076378284660231,6.5684574778621885,-0.36925818468747884,-0.0080881524179680416,-0.0032916160998792839,0.0042147704960748492
89,Epimetheus,SAT,5.26249e+17,6.4095001866840491,6.5676945689112909,-0.3690344642140288,-0.0011856797762187254,0.011453448202406577,-0.0040984846731559115
90,Helene,SAT,7127989000000000,6.4095725406969457,6.5659682912426547,-0.36813881197066228,0.0010000810143935617,0.0058080449382752969,-0.0013894842795114321
91,Telesto,SAT,4046405000000000,6.4089463377616012,6.5662977852689028,-0.36829588507271027,0.0021109164384433146,0.0048098457376912207,-0.00096819481825751786
92,Calypso,SAT,2547736000000000,6.406679015690468,6.568628351552694,-0.3691950675466214,-0.0061191646796096063,-0.0015942360158717997,0.00319231871242212
93,Atlas,SAT,5571944000000000,6.4077246042554465,6.5677356581935209,-0.36888587105035064,-0.00029848551254045997,-0.0040138557990704905,0.0038576133953565558
94,Prometheus,SAT,1.610972e+17,6.4089185795418295,6.5672648163783176,-0.36875485201375108,0.0044604859933878088,0.0068161225109280056,-0.0022787763117955006
95,Pandora,SAT,1.391959e+17,6.4076100421027826,6.5680551921583099,-0.36904312008084672,-0.0040143293786816005,-0.0044697006601054322,0.0044556627455278695
96,Pan,SAT,4945606000000000,6.4092801882342005,6.5675514579734227,-0.3689400081906053,0.0013772280219709627,0.010686768788383727,-0.0040069880724338102
97,Ymir,SAT,4945606000000000,6.5670802781627735,6.4438123294575256,-0.39127510373479635,-0.0046823688080252735,0.0035525177739078322,8.4493841125333493e-05
98,Paaliaq,SAT,8242676000000000,6.358739274502347,6.6248198608644788,-0.3144032752174058,-0.0047803224726014892,0.0033449448868160536,-0.0005496398801807359
99,Tarvos,SAT,2697603000000000,6.300821238152678,6.4514294329421782,-0.28933040049036779,-0.0038706744734638395,0.0037419287062235825,-0.00016768876209332344
100,Ijiraq,SAT,1198935000000000,6.4253533959171776,6.5274650368252578,-0.33592766174156924,-0.0029839045369990302,0.0036077867995802696,-0.00030992782120723805
101,Suttungr,SAT,209813600000000,6.351329001742533,6.4622244497034194,-0.36688197458256444,-0.0050122704986252323,0.0043729946946512947,0.00017963654378176877
102,Kiviuq,SAT,3297071000000000,6.3907678530444558,6.5127431675715606,-0.43431231591801778,-0.0034139846877415726,0.0036891268702153868,8.8527856306171236e-07
103,Mundilfari,SAT,209813600000000,6.540145580790286,6.5929466267266399,-0.34604036834731056,-0.0039918391844327656,0.0032033443369202962,0.00018081913542983527
104,Albiorix,SAT,20981360000000000,6.3751321003497115,6.5263558435180098,-0.33420262140006973,-0.0036541311707382674,0.0026835659483872994,-1.6674383701826331e-05
105,Skathi,SAT,314720400000000,6.4692665354157324,6.4697302026451915,-0.39110060149782877,-0.0047462434986867523,0.0033594281234781216,0.00046215992901486359
106,Erriapus,SAT,764320900000000,6.4684379608995393,6.4759342999492313,-0.3396027446126198,-0.0040323906007812748,0.0045662936781151768,-0.0003779972615589173
107,Siarnaq,SAT,38965380000000000,6.4810399092497919,6.480817913647626,-0.48600691783584243,-0.0039707365957403953,0.0043467227060226309,4.2971319137936393e-06
108,Thrymr,SAT,209813600000000,6.3385694755887689,6.5595747333960803,-0.36373793530893156,-0.0042021990814205892,0.0052186388993165477,0.0001405050489336153
109,Narvi,SAT,344693700000000,6.3063510445630673,6.4871916550284903,-0.44143652808038675,-0.0048934727335367845,0.0041584310494592429,0.00032684780392835239
110,Methone,SAT,8992011000000,6.4075270777437758,6.5687792222943573,-0.36941317043179556,-0.0091535908696027644,-0.0016099705601600998,0.0034580677103063064
111,Pallene,SAT,32970710000000,6.4079429208305445,6.56920411114762,-0.36967311262095687,-0.011195674922401059,0.0012105167606261918,0.0021974404479322678
112,Polydeuces,SAT,4496005000000,6.4062715005047304,6.5689509677247262,-0.36938747369151909,-0.0065047744408476497,-0.00085634456533007506,0.002820236008385814
113,Daphnis,SAT,77930760000000,6.4094187915683767,6.5677487009360114,-0.36905674554325313,-0.001215958347998486,0.011867911596421508,-0.0043748240924920386
114,Aegir,SAT,259900000000000,6.3725161876044005,6.4697964231575682,-0.3899797416995362,-0.0052630382590053626,0.0040556967549333738,0.00014511328059734299
115,Bebhionn,SAT,259900000000000,6.5601580244877367,6.6101236657767828,-0.36349598293054702,-0.0043421562695744207,0.0043149956659254583,-0.0002934892476412168
116,Bergelmir,SAT,259900000000000,6.3297272513549796,6.6465729834189364,-0.32885749822265964,-0.003599962330321063,0.0044258220954396556,0.00015949316624324202
117,Bestla,SAT,414000000000000,6.5774761185177386,6.5561758221946151,-0.47726648398600469,-0.0044500297418773507,0.0034898637517328077,0.00026688323418961403
118,Farbauti,SAT,149500000000000,6.3868168470921711,6.4421291666710241,-0.41627982603584968,-0.0049861517908409182,0.0042526185905350251,1.6775293774765556e-05
119,Fenrir,SAT,78200000000000,6.5395662814067634,6.4676235256266121,-0.41454600502175071,-0.0046322332923730393,0.0033510983548526293,9.336319343913188e-05
120,Fornjot,SAT,8280000000000,6.3916735491516503,6.7677532078086404,-0.3650166164248243,-0.0037238313379608038,0.003836079055244621,-1.8210436698956785e-05
121,Hati,SAT,259900000000000,6.3018492101268286,6.7189586935042893,-0.38167815854720855,-0.0038837915995432286,0.0041535318266717096,-6.3865488441015796e-05
